index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
119,성동구,S_상왕십리역,37.5549336,127.0367427,1.362437045,-0.813787,1.97232,0.9301730034817149,0.669729099
120,성동구,S_성수역,37.5446009,127.0568847,1.362437045,-0.813787,-3.82101,0.6541511058838214,-0.569571604
121,성동구,S_신금호역,37.5512857,127.023034,1.362437045,-0.813787,-0.731374,0.8758028394373131,0.131458262
122,성동구,S_신답역,37.569744,127.0469446,1.362437045,-0.813787,0.829567,1.0365636912841862,0.357889723
123,성동구,S_옥수역,37.5398948,127.0172208,1.362437045,-0.813787,0.796278,0.8172600556341997,0.540422581
124,성동구,S_왕십리(2)역,37.5549336,127.0367427,1.362437045,-0.813787,1.33311,0.9301730034817149,0.538334909
125,성동구,S_용답역,37.5586888,127.0531724,1.362437045,-0.813787,0.822998,0.8502291639662123,0.395374516
126,성동구,S_한양대역,37.5552593,127.0436579,1.362437045,-0.813787,1.32545,0.9032528947355472,0.531399679
127,성동구,S_행당역,37.5561971,127.0261975,1.362437045,-0.813787,1.33896,0.9646781126291947,0.532408407
128,성북구,S_고려대역,37.602119,127.0332133,-0.239306735,-1.25182,1.39708,-0.08918552347282598,-0.113801042
129,성북구,S_길음역,37.5973535,127.0188961,-0.239306735,-1.25182,0.679842,0.14659444096180702,-0.250714784
130,성북구,S_돌곶이역,37.6052866,127.0403349,-0.239306735,-1.25182,1.20164,-0.22941958724264083,-0.101343056
131,성북구,S_보문역,37.5866336,127.0181024,-0.239306735,-1.25182,1.8148,0.6603238336554337,-0.122405746
132,성북구,S_상월곡역,37.6052866,127.0403349,-0.239306735,-1.25182,1.36888,-0.22941958724264083,-0.066965677
133,성북구,S_성신여대입구역,37.5973535,127.0188961,-0.239306735,-1.25182,1.66728,0.14659444096180702,-0.047739837
134,성북구,S_안암역,37.590403,127.035926,-0.239306735,-1.25182,1.8299,0.17555098240707656,0.097278821
