index,호선,역사명,구,도로명주소,Latitude,Longitude,월임대료 평균,면적 평균,면적 당 임대료,엘리베이터유무,pc1,pc2,pc3
128,5,신정역,양천구,서울특별시 양천구 오목로 지하179(신정동),37.5245067,126.862375,4548669,33.355,136371.4286,0,-2.10509,-1.40919,-0.464912
129,5,목동역,양천구,서울특별시 양천구 오목로 지하245(목동),37.5245067,126.862375,4631076.2,26.14833333,177107.8922,0,-2.10509,-1.40919,-0.464912
130,5,오목교역,양천구,서울특별시 양천구 오목로 지하342(목동),37.5245067,126.862375,94251869.5,46.91413043,2009029.447,0,-2.10509,-1.40919,-0.464912
131,5,양평역,영등포구,서울특별시 영등포구 양산로 지하21(양평동2가),37.5242305,126.8953477,0,0,0,0,0.90948,1.15866,3.80037
132,5,영등포구청(5)역,영등포구,서울특별시 영등포구 양산로 지하116(당산동3가),37.5242305,126.8953477,5866242.333,124.1766667,47241.10003,0,0.90948,1.15866,3.80037
133,5,영등포시장역,영등포구,서울특별시 영등포구 양산로 지하200(영등포동5가),37.5242305,126.8953477,6361705,37.3,170555.0938,0,0.90948,1.15866,3.80037
134,5,신길역,영등포구,서울특별시 영등포구 경인로114가길 지하9(영등포동1가),37.5176364,126.9140856,7821272.333,23.33333333,335197.3857,0,0.90948,1.15866,3.80037
135,5,여의도역,영등포구,서울특별시 영등포구 여의나루로 지하40(여의도동),37.5213559,126.9249795,5007155.333,28.585,175167.2322,0,0.90948,1.15866,3.80037
136,5,여의나루역,영등포구,서울특별시 영등포구 여의동로 지하343(여의도동),37.5213559,126.9249795,6716550,34.125,196821.978,0,0.90948,1.15866,3.80037
137,5,마포역,마포구,서울특별시 마포구 마포대로 지하33(도화동),37.5458958,126.9515058,3533945.8,33.412,105768.7597,0,0.201913,0.109845,-1.32146
138,5,공덕(5)역,마포구,서울특별시 마포구 마포대로 지하100(공덕동),37.5458958,126.9515058,3407758.929,47.30391304,72039.68361,0,0.201913,0.109845,-1.32146
139,5,애오개역,마포구,서울특별시 마포구 마포대로 지하210(아현동),37.5458958,126.9515058,4577500,32.2,142158.3851,0,0.201913,0.109845,-1.32146
140,5,충정로(5)역,서대문구,서울특별시 서대문구 충정로 지하 28-1(충정로3가),37.5627988,126.9647478,1831098.25,33.645,54424.08233,0,0.831232,-1.33294,-0.185672
141,5,서대문역,종로구,서울특별시 종로구 통일로 지하126(평동),37.5705366,126.9628499,2917836.6,17.304,168622.0874,0,5.43797,2.23685,-1.13737
142,5,광화문역,종로구,서울특별시 종로구 세종대로 지하172(세종로),37.5722304,126.9771833,11701261,305,38364.79016,0,5.43797,2.23685,-1.13737
143,5,종로3가(5)역,종로구,서울특별시 종로구 돈화문로11길 지하 26(돈의동),37.5725356,126.9899825,4967525,39.38666667,126121.9956,0,5.43797,2.23685,-1.13737
144,5,을지로4가(5)역,중구,서울특별시 중구 창경궁로 지하51(주교동),37.5660599,126.9979537,1468382.333,30.68333333,47856.02389,0,7.57404,3.98087,0.601224
145,5,동대문역사문화공원역,중구,서울특별시 중구 마른내로 지하162(광희동1가),37.5648118,126.9991962,0,0,0,0,7.57404,3.98087,0.601224
146,5,청구(5)역,중구,서울특별시 중구 청구로 지하77(신당동),37.5608109,127.0137038,3825969,35.555,107607.0595,0,7.57404,3.98087,0.601224
