역사명,Latitude,Longitude,면적 평균,면적 당 임대료,pc1,pc2,pc3
문정역,37.4856859,127.1193237,30,185085.0333,-5.82448,1.94447,-1.11111
장지역,37.4856859,127.1193237,28.95666667,214145.1134,-5.82448,1.94447,-1.11111
복정역,37.4856859,127.1193237,50,178224.96,-5.82448,1.94447,-1.11111
언주,37.5085884,127.0405045,0,0,-3.29149,5.53299,-1.46002
선정릉,37.5070339,127.047777,0,0,-3.29149,5.53299,-1.46002
삼성중앙,37.5085884,127.0405045,0,0,-3.29149,5.53299,-1.46002
봉은사,37.5085884,127.0405045,0,0,-3.29149,5.53299,-1.46002
종합운동장,37.5213517,127.1026097,0,0,-5.82448,1.94447,-1.11111
삼전,37.5079559,127.0981246,0,0,-5.82448,1.94447,-1.11111
석촌고분,37.5079559,127.0981246,0,0,-5.82448,1.94447,-1.11111
석촌,37.4856859,127.1193237,0,0,-5.82448,1.94447,-1.11111
송파나루,37.5079559,127.0981246,0,0,-5.82448,1.94447,-1.11111
한성백제,37.5132079,127.1229459,0,0,-5.82448,1.94447,-1.11111
올림픽공원(한국체대),37.50885,127.1247641,0,0,-5.82448,1.94447,-1.11111
둔촌오륜,37.5231922,127.1313538,0,0,-0.970207,-0.899822,-0.603726
중앙보훈병원,37.5372136,127.15142,0,0,-0.970207,-0.899822,-0.603726
